data_num,weather_gt
1110936,0
1039407,0
1348211,0
1129167,0
468945,0
878024,0
121387,0
528059,0
480858,0
1302681,0
747010,0
583712,0
20521,0
922255,0
216064,0
49144,0
514483,0
462652,0
477506,0
604504,0
1044499,0
796261,0
486785,0
1103885,0
373457,0
369910,0
27116,0
433943,0
1250810,0
279442,0
1066091,0
1320301,0
705560,0
306862,0
1348784,0
553292,0
218996,0
467211,0
429729,0
741634,0
691960,0
1348602,0
856769,0
1109755,0
987230,0
1070263,0
399314,0
956705,0
476193,0
1313056,0
1147881,0
843661,0
1288246,0
684131,0
760253,0
924033,0
177058,0
1280080,0
363360,0
1308249,0
752722,0
389035,0
1174396,0
665302,0
616240,0
536805,0
976410,0
556347,0
746209,0
1348478,0
467103,0
548296,0
819730,0
1029629,0
772941,0
546705,0
539673,0
748695,0
1137613,0
1348267,0
1173938,0
338109,0
636918,0
798903,0
1348523,0
1037912,0
307583,0
324518,0
454178,0
1188122,0
1099462,0
800850,0
545062,0
570986,0
1337361,0
1256384,0
281806,0
97142,0
1021354,0
184428,0
1170864,0
371928,0
256276,0
800092,0
561261,0
1058684,0
818199,0
169403,0
829994,0
1163795,0
1119790,0
944163,0
1248337,0
776504,0
110522,0
956330,0
1231361,0
390999,0
928411,0
702086,0
696339,0
1077546,0
1074204,0
518072,0
218403,0
52803,0
1155776,0
474442,0
1065254,0
1099518,0
1113216,0
1106429,0
907780,0
1077208,0
815232,0
1212316,0
964731,0
1248062,0
823374,0
1217351,0
278871,0
841492,0
174263,0
890638,0
1341784,0
322808,0
522016,0
692726,0
1176743,0
627341,0
167210,0
876207,0
192340,0
178546,0
732592,0
939801,0
1049196,0
888680,0
1198375,0
517977,0
417791,0
1016882,0
760311,0
63543,0
1285572,0
391019,0
257271,0
690076,0
421637,0
672677,0
831332,0
1308351,0
189255,0
533548,0
371091,0
929687,0
1233908,0
13061,0
857885,0
930798,0
937873,0
16338,0
975156,0
448915,0
405028,0
313665,0
753490,0
754656,0
116167,0
51208,0
124200,0
595812,0
1111508,0
846701,0
528673,0
449303,0
837400,0
994952,0
854881,0
54322,0
189812,0
924032,0
845804,0
957356,0
797797,0
771980,0
793654,0
1186057,0
817501,0
1194129,0
1190705,0
1348213,0
1277116,0
298075,0
1346566,0
449456,0
702562,0
1238578,0
1122106,0
700412,0
614340,0
1232777,0
686889,0
607405,0
1030748,0
275927,0
1348442,0
194709,0
1061281,0
15119,0
788246,0
737684,0
334949,0
688828,0
616392,0
855314,0
535940,0
736656,0
209766,0
1016460,0
565620,0
47704,0
1107685,0
1059357,0
1059837,0
938700,0
684105,0
616221,0
669511,0
691469,0
1200153,0
1142104,0
1025777,0
1129099,0
598576,0
102361,0
26926,0
16322,0
561816,0
933694,0
927721,0
622181,0
43013,0
389873,0
521120,0
980039,0
162301,0
1325313,0
1347212,0
1313549,0
812723,0
878969,0
545081,0
423507,0
948223,0
1050581,0
1153263,0
955961,0
240569,0
963648,0
1186672,0
79033,0
1136407,0
1204472,0
721090,0
561495,0
1073141,0
1034180,0
1054635,0
1220602,0
865672,0
750162,0
107188,0
548152,0
206724,0
517215,0
515742,0
871640,0
536820,0
1198369,0
865257,0
1332169,0
976264,0
358070,0
421069,0
482531,0
1128268,0
198216,0
440397,0
208100,0
1255675,0
117959,0
1135278,0
1235215,0
1181020,0
734034,0
1016689,0
259555,0
103147,0
389044,0
369728,0
38769,0
1119282,0
194705,0
932989,0
553274,0
1040984,0
376640,0
202469,0
741349,0
1348231,0
787692,0
